scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse
constant_risk_difference,33,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.0027330799633080716,0.09183465771565469,-0.18272900908599127,0.17726284915937512,-0.0027330799633079605,True,0.006901002839900698
constant_risk_difference,34,classical_interaction,True,True,,,-1.1102230246251565e-16,0.10651803965119244,0.1173937752259499,-0.12357375979166937,0.3366098390940543,0.10651803965119255,True,0.01447705405423017
constant_risk_difference,34,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=282, divergences=0",,-1.1102230246251565e-16,0.018136063574914527,0.04339379433289512,-0.06598534311761786,0.11447715609988036,0.018136063574914638,True,0.004442982085692709
constant_risk_difference,34,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.031663871538768595,0.08636652186275914,-0.1376145113122393,0.2009422543897765,0.031663871538768706,True,0.005417865343033414
constant_risk_difference,35,classical_interaction,True,True,,,-1.1102230246251565e-16,0.1343790614343794,0.12017945985001838,-0.10117267987165662,0.3699308027404154,0.1343790614343795,True,0.010579669819091414
constant_risk_difference,35,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=192, divergences=0",,-1.1102230246251565e-16,0.005879878638051877,0.03380960968459782,-0.06937455161482206,0.07170452304205148,0.005879878638051988,True,0.0015778916496157146
constant_risk_difference,35,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.018481063171200685,0.07958368299351784,-0.17446508183849566,0.1375029554960943,-0.018481063171200574,True,0.0010803229351781377
constant_risk_difference,36,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.2845774849936992,0.11046540211586986,-0.5010896731408041,-0.06806529684659429,-0.2845774849936991,False,0.010513559426561025
constant_risk_difference,36,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=230, divergences=0",,-1.1102230246251565e-16,-0.026592314998973143,0.07631426620437749,-0.22158498340717572,0.07691229310078453,-0.02659231499897303,True,0.002774695040738558
constant_risk_difference,36,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.03739090260363365,0.08615000834891541,-0.20624491896750785,0.13146311376024056,-0.037390902603633536,True,0.0021221273856148128
constant_risk_difference,37,classical_interaction,True,True,,,-1.1102230246251565e-16,0.29455554013446605,0.09891063599304672,0.10069069358809449,0.48842038668083765,0.29455554013446617,False,0.005991105237785065
constant_risk_difference,37,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=281, divergences=0",,-1.1102230246251565e-16,0.016866857329156423,0.03941486040903336,-0.05058271739618643,0.10655857786001756,0.016866857329156534,True,0.0010268767856855768
constant_risk_difference,37,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.06238815369925155,0.10082334586795856,-0.13522560420194724,0.26000191160045033,0.06238815369925166,True,0.002135243205613947
constant_risk_difference,38,classical_interaction,True,True,,,-1.1102230246251565e-16,0.073663773414672,0.12824653601551336,-0.17769943717573417,0.3250269840050782,0.07366377341467212,True,0.003056716587100056
constant_risk_difference,38,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.020, minimum bulk ESS=397, divergences=0",,-1.1102230246251565e-16,-0.0007241726846404966,0.029870410553301346,-0.06646996514504164,0.05660477917472477,-0.0007241726846403855,True,0.0005581427094053807
constant_risk_difference,38,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.013722757310620337,0.0767329016292462,-0.1366737298827022,0.16411924450394288,0.013722757310620448,True,0.000591346883019912
constant_risk_difference,39,classical_interaction,True,True,,,-1.1102230246251565e-16,0.1093754136930597,0.14135732871582027,-0.16768495058994803,0.38643577797606743,0.10937541369305981,True,0.0049800025321504226
constant_risk_difference,39,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=242, divergences=0",,-1.1102230246251565e-16,0.02436251676591182,0.037606604271772696,-0.050539644046492214,0.10252330339316666,0.024362516765911932,True,0.0013033605288087443
constant_risk_difference,39,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.030426976653119553,0.07736514329066686,-0.1212087041965875,0.1820626575028266,0.030426976653119664,True,0.0013188587799976693
constant_risk_difference,40,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.17581673191759334,0.12551953326222576,-0.4218350171115558,0.07020155327636915,-0.17581673191759323,True,0.009434203110727363
