scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse,prior_label,mean_prior_sd,heterogeneity_prior_scale
no_hte,10,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=235, divergences=0",,-1.1102230246251565e-16,0.0415346973897147,0.04473070043828011,-0.05214774450670371,0.1317723888789572,0.04153469738971481,True,0.0032297315778328003,Primary,2.0,1.0
no_hte,10,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=326, divergences=0",,-1.1102230246251565e-16,0.04432821960850687,0.04240400026642843,-0.03846504328320255,0.1325076796588453,0.04432821960850698,True,0.003340696885429286,Mean-prior SD 5,5.0,1.0
no_hte,10,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.010, minimum bulk ESS=258, divergences=0",,-1.1102230246251565e-16,0.03650898313017621,0.03927795283631722,-0.0401523839658486,0.11525426497406578,0.03650898313017632,True,0.002881438821275254,Heterogeneity-prior scale 0.5,2.0,0.5
no_hte,10,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.030, minimum bulk ESS=193, divergences=0",,-1.1102230246251565e-16,0.04453504618788276,0.04703154528798348,-0.04653289609014455,0.13422624601380803,0.04453504618788287,True,0.0033170173170753918,Heterogeneity-prior scale 2,2.0,2.0
joint_subgroup,1,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=267, divergences=0",,0.09429925661307104,0.0888494718710169,0.058452919164008445,-0.03836031216967783,0.20487248283061685,-0.0054497847420541395,True,0.0035910175242717638,Mean-prior SD 1,1.0,1.0
joint_subgroup,1,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=369, divergences=0",,0.09429925661307104,0.09085242347432021,0.05237421089949891,-0.02759646054540694,0.19101103079960322,-0.0034468331387508266,True,0.003697550167727315,Primary,2.0,1.0
joint_subgroup,1,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=198, divergences=0",,0.09429925661307104,0.09028167875079325,0.052299248220373434,-0.02222876480950298,0.19626375766259518,-0.004017577862277785,True,0.00371569927270163,Mean-prior SD 5,5.0,1.0
joint_subgroup,1,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.010, minimum bulk ESS=296, divergences=0",,0.09429925661307104,0.08586999257688187,0.050949577270858644,-0.01666479577790344,0.1917477216232639,-0.008429264036189169,True,0.0030663978064764076,Heterogeneity-prior scale 0.5,2.0,0.5
joint_subgroup,1,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.010, minimum bulk ESS=298, divergences=0",,0.09429925661307104,0.09128884022745327,0.054324096266712356,-0.021003193266348148,0.19717800673343733,-0.003010416385617762,True,0.00393620364755513,Heterogeneity-prior scale 2,2.0,2.0
joint_subgroup,2,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=339, divergences=0",,0.09429925661307104,0.09641542997611606,0.05313976335089365,-0.008102204441600733,0.21163966296300288,0.0021161733630450236,True,0.002245370834145656,Mean-prior SD 1,1.0,1.0
joint_subgroup,2,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=301, divergences=0",,0.09429925661307104,0.09753898754840265,0.053210726571640214,0.0038863689300861538,0.21392742763177852,0.003239730935331614,True,0.0025211450949553962,Primary,2.0,1.0
joint_subgroup,2,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=290, divergences=0",,0.09429925661307104,0.09975780396856675,0.052864596333050615,0.0038802007498707418,0.2098334650926657,0.00545854735549571,True,0.0026884750710441246,Mean-prior SD 5,5.0,1.0
joint_subgroup,2,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.010, minimum bulk ESS=282, divergences=0",,0.09429925661307104,0.08593910235503617,0.048792650789757405,-0.004272581263604359,0.19270804423395524,-0.008360154258034866,True,0.0021675383869492046,Heterogeneity-prior scale 0.5,2.0,0.5
joint_subgroup,2,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.020, minimum bulk ESS=271, divergences=0",,0.09429925661307104,0.100008484572606,0.054535059298420126,-0.002544306478779556,0.2158337523084286,0.005709227959534963,True,0.0025790069050286575,Heterogeneity-prior scale 2,2.0,2.0
joint_subgroup,3,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=329, divergences=0",,0.09429925661307104,0.0652385046540736,0.04327611621247834,-0.01526554000177959,0.15894904473376958,-0.029060751958997433,True,0.002253262479476861,Mean-prior SD 1,1.0,1.0
joint_subgroup,3,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=391, divergences=0",,0.09429925661307104,0.06642464334806712,0.04315988598437724,-0.01660926245198155,0.1578404732624878,-0.027874613265003914,True,0.002454419374974223,Primary,2.0,1.0
joint_subgroup,3,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.030, minimum bulk ESS=170, divergences=0",,0.09429925661307104,0.06872763364250206,0.04288428085573469,-0.007434490957805076,0.1664116552958738,-0.025571622970568975,True,0.002503961778594458,Mean-prior SD 5,5.0,1.0
joint_subgroup,3,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.010, minimum bulk ESS=376, divergences=0",,0.09429925661307104,0.05994854801631528,0.04141363362630285,-0.015419311665075373,0.149308441483043,-0.03435070859675576,True,0.0023343986202435927,Heterogeneity-prior scale 0.5,2.0,0.5
joint_subgroup,3,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.020, minimum bulk ESS=324, divergences=0",,0.09429925661307104,0.06893074890503575,0.043843571525287804,-0.021374832258601144,0.16470160538331777,-0.02536850770803528,True,0.002458584851111097,Heterogeneity-prior scale 2,2.0,2.0
joint_subgroup,4,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=348, divergences=0",,0.09429925661307104,0.05900300577830454,0.07032436108039339,-0.10192061611262715,0.1692021309171723,-0.03529625083476649,True,0.005754721792539451,Mean-prior SD 1,1.0,1.0
joint_subgroup,4,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.020, minimum bulk ESS=416, divergences=0",,0.09429925661307104,0.06407573698337632,0.06739250558251815,-0.09902844962430647,0.15542197468951108,-0.030223519629694717,True,0.005426064599386671,Primary,2.0,1.0
joint_subgroup,4,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=382, divergences=0",,0.09429925661307104,0.06414590038647353,0.06650846354291273,-0.09296373414791483,0.15949113602235057,-0.03015335622659751,True,0.0054819056129428246,Mean-prior SD 5,5.0,1.0
joint_subgroup,4,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.010, minimum bulk ESS=257, divergences=0",,0.09429925661307104,0.06013747017360212,0.061773708466971944,-0.0823286703300927,0.1534625481871464,-0.03416178643946892,True,0.0050692728127158995,Heterogeneity-prior scale 0.5,2.0,0.5
joint_subgroup,4,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.010, minimum bulk ESS=231, divergences=0",,0.09429925661307104,0.05561059877384206,0.06959025273470133,-0.10449646833265791,0.15408400880761644,-0.03868865783922898,True,0.005953341036938547,Heterogeneity-prior scale 2,2.0,2.0
joint_subgroup,5,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=408, divergences=0",,0.09429925661307104,0.11535502967334875,0.04517091046703073,0.027237686228062857,0.20456616547724443,0.021055773060277713,True,0.001753194643946808,Mean-prior SD 1,1.0,1.0
joint_subgroup,5,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=301, divergences=0",,0.09429925661307104,0.11004545715381914,0.04812161709383489,0.008551746102900576,0.19978911827640747,0.0157462005407481,True,0.0017895551594437915,Primary,2.0,1.0
joint_subgroup,5,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=322, divergences=0",,0.09429925661307104,0.1138499837829157,0.04580869760511811,0.021197196688951616,0.20286773820223053,0.01955072716984467,True,0.0017557257816812042,Mean-prior SD 5,5.0,1.0
joint_subgroup,5,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.010, minimum bulk ESS=333, divergences=0",,0.09429925661307104,0.1075101867237964,0.04169214923285783,0.02606074995519081,0.19791167164529197,0.013210930110725369,True,0.001472032317734509,Heterogeneity-prior scale 0.5,2.0,0.5
joint_subgroup,5,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.010, minimum bulk ESS=404, divergences=0",,0.09429925661307104,0.11747432672816273,0.04674671546379027,0.02308662017228516,0.21774710203422734,0.023175070115091692,True,0.0019716897654434525,Heterogeneity-prior scale 2,2.0,2.0
joint_subgroup,6,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=301, divergences=0",,0.09429925661307104,0.055786223626054565,0.05882934104495188,-0.07336229371188759,0.17008416352569838,-0.03851303298701647,True,0.003219789180956772,Mean-prior SD 1,1.0,1.0
joint_subgroup,6,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=246, divergences=0",,0.09429925661307104,0.053769980990439704,0.06038932617863201,-0.07359170112347715,0.16075805397679,-0.04052927562263133,True,0.0032663955422582293,Primary,2.0,1.0
joint_subgroup,6,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=304, divergences=0",,0.09429925661307104,0.05636060533615603,0.05779347413656762,-0.0651466791975588,0.16499325978087404,-0.03793865127691501,True,0.003031515190253009,Mean-prior SD 5,5.0,1.0
joint_subgroup,6,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.010, minimum bulk ESS=265, divergences=0",,0.09429925661307104,0.05417970720057012,0.0559388514975081,-0.06722271357456956,0.16440125577525552,-0.04011954941250092,True,0.0025942700480645372,Heterogeneity-prior scale 0.5,2.0,0.5
joint_subgroup,6,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.010, minimum bulk ESS=251, divergences=0",,0.09429925661307104,0.053389070092479285,0.058687822374287726,-0.08158061937309653,0.15303453605474526,-0.04091018652059175,True,0.00383573405532663,Heterogeneity-prior scale 2,2.0,2.0
