scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse,candidate_id,min_samples_leaf,max_samples,max_depth,fit_seed,runtime_seconds
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.17145768556300278,0.12853405948340713,-0.42338444215048077,0.0804690710244752,0.005190182644237318,True,0.007256863480794016,cf_09,20,0.45,,2022032537,0.4660713749981369
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.16792636544588063,0.12613907570115868,-0.41515895382015167,0.07930622292839037,0.008721502761359468,True,0.006852405512310876,cf_10,20,0.45,5.0,2022032537,0.45849154199822806
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.1881386962747083,0.1348142937335062,-0.45237471199238044,0.07609731944296383,-0.011490828067468206,True,0.008080414661791092,cf_11,20,0.5,,2022032537,0.4838186670021969
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.18450958771764642,0.13441935093599036,-0.4479715155521875,0.07895234011689467,-0.007861719510406318,True,0.007469216725006911,cf_12,20,0.5,5.0,2022032537,0.4736961659946246
published_scenario,4,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.12901296054121597,0.16320408662264854,-0.44889297032160713,0.1908670492391752,0.04763490766602413,True,0.013330498919433872,cf_01,5,0.45,,3360635865,0.5569475419979426
published_scenario,4,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.10861292603509415,0.13560152660358185,-0.37439191817811457,0.15716606610792627,0.06803494217214595,True,0.007965195584483123,cf_02,5,0.45,5.0,3360635865,0.495431750001444
published_scenario,4,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.12453858510343813,0.15964388635312152,-0.4374406023555563,0.18836343214868007,0.05210928310380197,True,0.015144673265222114,cf_03,5,0.5,,3360635865,0.582278416994086
published_scenario,4,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.10526844911911548,0.12782882021092845,-0.3558129367325352,0.14527603849430426,0.07137941908812462,True,0.00820402149109131,cf_04,5,0.5,5.0,3360635865,0.507809750000888
published_scenario,4,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.11468649095297584,0.12780156280471916,-0.3651775540502254,0.13580457214427372,0.06196137725426426,True,0.009632965310259973,cf_05,10,0.45,,3360635865,0.5132769589981763
published_scenario,4,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.1047291131520352,0.11557516382607211,-0.3312564342511365,0.12179820794706611,0.0719187550552049,True,0.007414793539397935,cf_06,10,0.45,5.0,3360635865,0.4865592089990969
